"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WSF2","WSF5"
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-01-03",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-01-04",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-01-05",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-01-06",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-01-07",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-01-08",,"0.02",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-01-09",,"0.04",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-01-10",,"0.00",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-01-11",,"0.02",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-01-12",,"0.09",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-01-13",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-01-14",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-01-15",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-01-16",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-01-17",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-01-18",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-01-19",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-01-20",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-01-21",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-01-22",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-01-23",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-01-24",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-01-25",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-01-26",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-01-27",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-01-28",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-01-29",,"0.02",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-01-30",,"0.10",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-01-31",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-02-01",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-02-02",,"0.21",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-02-03",,"0.09",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-02-04",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-02-05",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-02-07",,"0.06",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-02-08",,"1.07",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-02-09",,"2.21",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-02-10",,"0.71",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-02-11",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-02-12",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-02-13",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-02-14",,"0.05",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-02-15",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-02-16",,"0.06",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-02-17",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-02-18",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-02-19",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-02-20",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-02-21",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-02-22",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-02-23",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-02-25",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-02-26",,"0.17",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-02-27",,"0.96",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-02-28",,"0.80",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-03-01",,"0.18",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-03-02",,"0.04",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-03-03",,"0.07",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-03-04",,"0.35",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-03-05",,"0.01",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-03-06",,"0.36",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-03-07",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-03-08",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-03-09",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-03-10",,"0.07",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-03-11",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-03-12",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-03-13",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-03-14",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-03-15",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-03-16",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-03-17",,"0.00",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-03-18",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-03-19",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-03-20",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-03-21",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-03-22",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-03-23",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-03-24",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-03-25",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-03-26",,"0.60",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-03-27",,"0.17",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-03-28",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-03-29",,"0.23",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-03-30",,"0.74",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-03-31",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-04-01",,"0.72",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-04-02",,"0.58",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-04-03",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-04-04",,"0.42",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-04-05",,"0.03",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-04-06",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-04-07",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-04-08",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-04-09",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-04-10",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-04-11",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-04-12",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-04-13",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-04-14",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-04-15",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-04-16",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-04-17",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-04-18",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-04-19",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-04-21",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-04-22",,"0.03",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-04-23",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-04-24",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-04-25",,"0.21",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-04-26",,"0.26",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-04-27",,"0.06",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-04-28",,"0.00",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-04-29",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-04-30",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-05-01",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-05-02",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-05-03",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-05-04",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-05-05",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-05-06",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-05-07",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-05-08",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-05-09",,"0.05",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-05-10",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-05-11",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-05-12",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-05-13",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-05-14",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-05-15",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-05-16",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-05-17",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-05-19",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-05-20",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-05-21",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-05-22",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-05-23",,"0.00",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-05-24",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-05-25",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-05-26",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-05-27",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-05-28",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-05-29",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-05-30",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-05-31",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-06-01",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-06-02",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-06-03",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-06-04",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-06-05",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-06-06",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-06-07",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-06-08",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-06-09",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-06-10",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-06-11",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-06-12",,"0.00",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-06-13",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-06-14",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-06-15",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-06-16",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-06-17",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-06-18",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-06-19",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-06-20",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-06-21",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-06-22",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-06-23",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-06-24",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-06-25",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-06-26",,"0.04",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-06-27",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-06-28",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-06-29",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-06-30",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-07-01",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-07-02",,"0.00",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-07-03",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-07-04",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-07-05",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-07-06",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-07-07",,"0.00",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-07-08",,"0.00",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-07-09",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-07-10",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-07-11",,"0.00",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-07-12",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-07-13",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-07-15",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-07-16",,"0.00",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-07-17",,"0.10",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-07-18",,"0.04",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-07-19",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-07-20",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-07-21",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-07-22",,"0.06",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-07-23",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-07-24",,"0.00",,,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-07-25",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-07-26",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-07-27",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-07-28",,"0.00","0.0",,,,,,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2014-07-29",,"0.00","0.0",,,,,,,
